,author,cid,text,time,search_query,video_id,word_count,char_lengh,n_avg_word,n_numerics,upper_case,time_tag,urls_tag,hash_tag,emoji_tag,polarity,subjectivity,sentiment
0,ABory,UgynHP3RCS6cNyxHYvt4AaABAg,Please for Monaco GP do a tribute for Lauda bringing the 70s livery on the cars,1 week ago,ferrari_sf90,T6fjCqPmJU0,16,79,4.0,0,1,,,,,0.0,0.0,neutral
4,Nick Petrangelo,Ugy_u9IfBj31mkst--p4AaABAg,"Bring back the winning days of todt, brawn, byrne and schumi.... 10yrs of not winning!!! Forget these bullshit videos and get organized.. Scuderia is a joke!! -Tifosi",1 month ago,ferrari_sf90,T6fjCqPmJU0,27,166,5.185185185185185,0,0,,,,,0.0,0.5,neutral
7,ABory,Ugyj963NMjukr3AxuRl4AaABAg,Best livery since Brawn 2009 Let's hope this car will win championships CL16 SV5 MS29,1 month ago,ferrari_sf90,T6fjCqPmJU0,15,85,4.733333333333333,1,3,,,,,0.9,0.35,positive
12,Manuel,UgxCkllVpaFv8ZxJT7x4AaABAg,DAL MIO PUNTO DI VISTA UNA FERRARI VERAMENTE SECSIH cit. Arrivabene,2 months ago,ferrari_sf90,T6fjCqPmJU0,11,67,5.181818181818182,0,9,,,,,0.0,0.0,neutral
13,fijo johny,UgyfU7l3dNRGEaR2ceZ4AaABAg,"yes SF 90 is beauty , but can you guys please tell whats the difference this bought to the performance .... looking in to today performance.... even not able to set a fastest lap ,, what we are going to do with this machine.?( fastest lap getting extra 1 point from this year onwards )",2 months ago,ferrari_sf90,T6fjCqPmJU0,55,285,4.2,2,1,,,,,-0.125,0.3625,negative
19,Ioannis Visvikis,UgwMxl5lNjW3cYo5X7h4AaABAg,"Hi everyone. I have developed an Android application that provides information regarding past and current racing results. -A Quiz regarding the history of the sport. Learn something new or refresh your knowledge. - Driver Champions. - Constructor champions. - Race results by circuit, constructor, driver or season/round. - Circuits by driver or constructor. - Constructors by circuit and driver. - Podium places for drivers and constructors by season. - Past season final driver and constructor standings per year or current standings for season in progress. - Information about drivers and constructors just a click away. - Current season grid, qualifying results, race results. - Latest news by links to Motorsport, Autosport and Espn through RSS. - Engine sounds. - Set alarm and get notifications for upcoming events. - English, Greek, French, Italian, German, Spanish, Russian language support. Here is the link in case anyone is interested to give it a try. Android 4.2 or higher, requires internet connection. https://play.google.com/store/apps/details?id=comp.examplef1.iovisvikis.f1story",3 months ago,ferrari_sf90,T6fjCqPmJU0,159,1097,5.90566037735849,0,3,,https://play.google.com/store/apps/details?id=comp.examplef1.iovisvikis.f1story,,,0.04090909090909091,0.29747474747474745,positive
21,amid mammadov,UgyLlY04tNdNBME6QoN4AaABAg,"I amid mammadov ask you to help me the deal is that the consul of Uzbekistan in Baku called Tashkent to ask for several times to give me help but they answered that I have no relationship to Uzbekistan though i have an Uzbek birth certificate in any place I go in Baku they say we cannot help I ask for help 18 years even unhcr red crescent red cross iom Baku said that they cannot help us my parents worked in Uzbekistan then they married and I was born in december 9, 1982. when I was a child they come in Baku and I was registered here until I was 15 years old when my mother sold our flat she got very little money from it and we couldn t buy a new one since 15 years old I suffer now I hawe a permanent residency but they say I must acguire citizenship of Uzbekistan people please help us my father died mother is I'll shei 55 she cries every day please help us to get job and home I am weak that s why I cannot work hard I cannot lose my mother some Russian and foreign people help us they trust us when we show them our documents we want to go back to Uzbekistan but we hava no money please call us we will explain you our situation we are dying please people i have registration Baku unhcr but i stateless person to me anything don t help at our place there are no clothes i and mother on the street to us don t give tent please save us god will help you emai mammadovamid@gmail.com",3 months ago,ferrari_sf90,T6fjCqPmJU0,280,1390,3.967857142857143,4,14,,,,,-0.03160353535353536,0.21141414141414142,negative
22,Patrik Lengyel,UgyEza7WbuO-0eVi5u54AaABAg,You have to win the title 2007 was a long ago,3 months ago,ferrari_sf90,T6fjCqPmJU0,11,45,3.1818181818181817,1,0,,,,,0.375,0.4,positive
25,Antoine Vieille,Ugw1_ygF3d-i067O0XR4AaABAg,"Merci pour ta vidéo ! Pour ceux qui s'intéressent à la création d'entreprise j'ai lu un livre hyper intéressant d'un entrepreneur français qui raconte comment il a créé un business rentable sur Internet. C’est grâce à lui que j’ai pu créer mon Ebook et commencer à gagner de l’argent en tant qu’entrepreneur ! Le livre coûte 14,99 euros mais en ce moment vous pouvez le télécharger gratuitement en cliquant ici: https://rmif.systeme.io/telechargez-livre-gratuitement-a?sa=sa5ec5e17b21828ff17d03b4ea85d81ef3",3 months ago,ferrari_sf90,T6fjCqPmJU0,71,506,6.140845070422535,0,0,,https://rmif.systeme.io/telechargez-livre-gratuitement-a?sa=sa5ec5e17b21828ff17d03b4ea85d81ef3,,,0.0,0.0,neutral
27,Giulio Caserta,UgzVQZ9is9SbN-_itFx4AaABAg,"Sorry, what is the name of this music? Scusate quale è il nome di questa musica?",3 months ago,ferrari_sf90,T6fjCqPmJU0,16,80,4.0625,0,0,,,,,-0.5,1.0,negative
